AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Label
9.088444,0.168668,3.012939,-0.049379,-0.586891,-0.554153,R2
9.442511,0.362869,2.849781,-0.044192,-0.591656,-0.585325,R2
9.796578,0.557069,2.686623,-0.039005,-0.596421,-0.616497,R2
9.243761,1.431742,2.237055,-0.000996,-0.431217,-0.381528,R1
9.201772,1.711902,2.510392,-0.043624,-0.436377,-0.346822,R1
9.356293,1.899911,2.2767,-0.033796,-0.425873,-0.357319,R1
9.510813,2.087921,2.043007,-0.023968,-0.415368,-0.367816,R1
9.665333,2.275931,1.809314,-0.01414,-0.404864,-0.378313,R1
9.819854,2.463941,1.575621,-0.004312,-0.394359,-0.38881,R1
8.829986,1.932439,0.12255,-0.087669,-0.538334,-0.69487,R1
8.862719,2.082788,0.111582,-0.112351,-0.503975,-0.665179,R1
8.895451,2.233136,0.100615,-0.137032,-0.469617,-0.635487,R1
8.928183,2.383485,0.089647,-0.161713,-0.435258,-0.605796,R1
8.960916,2.533834,0.078679,-0.186394,-0.400899,-0.576105,R1
9.093287,3.071768,0.225386,-0.144249,-0.387164,-0.575422,R1
8.620626,0.378894,0.750196,-0.253046,-0.279039,-1.464299,R1
8.798012,0.641477,1.003021,-0.196114,-0.266261,-1.311563,R1
8.975398,0.904061,1.255847,-0.139182,-0.253483,-1.158827,R1
9.152783,1.166645,1.508672,-0.08225,-0.240705,-1.006091,R1
8.90584,1.565772,1.429866,0.032163,-0.221348,-0.909011,R1
8.658897,1.9649,1.35106,0.146575,-0.201991,-0.811931,R1
11.239832,5.173978,2.544254,-0.111118,-0.315531,-0.7893,R1
11.294574,5.86412,2.386668,-0.043753,-0.351064,-0.762123,R1
11.349316,6.554261,2.229082,0.023612,-0.386597,-0.734945,R1
11.404058,7.244403,2.071496,0.090977,-0.42213,-0.707768,R1
11.4588,7.934545,1.91391,0.158342,-0.457663,-0.680591,R1
11.471145,6.940058,1.367774,0.099232,-0.469499,-0.656529,R1
9.406995,2.623379,1.222312,-0.005525,-0.414082,-0.547962,R1
9.333089,2.967398,1.609921,-0.03853,-0.40341,-0.494784,R1
9.878836,3.326697,1.643961,-0.022554,-0.385101,-0.431049,R1
10.424582,3.685996,1.678,-0.006577,-0.366793,-0.367314,R1
10.970329,4.045295,1.71204,0.009399,-0.348485,-0.303579,R1
11.516076,4.404594,1.74608,0.025375,-0.330177,-0.239844,R1
10.174005,1.492043,0.476723,0.107375,-0.524339,-0.741498,R2
10.223953,1.552195,0.599674,0.060048,-0.504203,-0.714771,R2
10.273902,1.612348,0.722625,0.01272,-0.484068,-0.688044,R2
10.234857,1.841639,0.642461,-0.01949,-0.462974,-0.676753,R2
10.19581,2.07093,0.562297,-0.0517,-0.44188,-0.665463,R2
10.156765,2.300221,0.482133,-0.08391,-0.420786,-0.654173,R2
9.359527,3.316981,1.775446,0.055931,-0.515858,-0.552245,R1
9.441189,3.197927,1.377186,0.018157,-0.504166,-0.54705,R1
9.522852,3.078873,0.978927,-0.019618,-0.492473,-0.541854,R1
9.604515,2.959818,0.580667,-0.057392,-0.480781,-0.536659,R1
9.686177,2.840764,0.182407,-0.095167,-0.469088,-0.531463,R1
10.491027,3.353801,0.153724,-0.00878,-0.417804,-0.513661,R1
9.012941,1.719219,2.067915,-0.343747,-0.40733,-0.568027,R2
9.37318,1.276072,2.0741,-0.336906,-0.412271,-0.567562,R2
9.733419,0.832926,2.080284,-0.330065,-0.417211,-0.567097,R2
9.757929,0.55333,1.189284,-0.274948,-0.399159,-0.654132,R2
9.782438,0.273734,0.298285,-0.219831,-0.381107,-0.741167,R2
9.806948,-0.005861,-0.592715,-0.164714,-0.363055,-0.828201,R2
9.262136,2.118955,1.27305,0.122706,-0.26798,-0.792642,R1
9.257916,2.01703,1.340254,0.135921,-0.25235,-0.714659,R1
9.253696,1.915104,1.407458,0.149136,-0.23672,-0.636675,R1
9.249477,1.813178,1.474662,0.162352,-0.221091,-0.558692,R1
9.245258,1.711253,1.541866,0.175567,-0.205461,-0.480709,R1
9.274035,1.50406,1.501582,0.185488,-0.189074,-0.528975,R1
9.963994,1.225011,1.007836,-0.530218,-0.527588,-0.654696,R2
9.82531,0.953533,1.29841,-0.518634,-0.510475,-0.584583,R2
9.80686,1.506453,1.65254,-0.482585,-0.499691,-0.549768,R2
9.78841,2.059373,2.00667,-0.446536,-0.488908,-0.514954,R2
9.769961,2.612293,2.3608,-0.410488,-0.478124,-0.480139,R2
9.751512,3.165214,2.71493,-0.374439,-0.46734,-0.445324,R2
9.606853,1.571146,0.948703,-0.1922,-0.512051,-0.69653,R2
9.48381,1.936842,0.998538,-0.158933,-0.49355,-0.638973,R2
9.360769,2.302539,1.048374,-0.125666,-0.475048,-0.581416,R2
9.237728,2.668235,1.09821,-0.092399,-0.456547,-0.523858,R2
9.074352,3.12752,0.741121,-0.069582,-0.450384,-0.500176,R2
8.910975,3.586804,0.384031,-0.046766,-0.444221,-0.476494,R2
8.979719,2.631588,0.771665,0.160252,-0.383118,-0.810891,R2
8.9498,2.556059,0.891591,0.119142,-0.379426,-0.727813,R2
8.763071,2.804884,0.747229,0.185825,-0.36267,-0.663224,R2
8.576344,3.05371,0.602867,0.252508,-0.345914,-0.598635,R2
8.389616,3.302535,0.458505,0.319191,-0.329158,-0.534045,R2
8.202888,3.55136,0.314143,0.385874,-0.312402,-0.469456,R2
9.112783,3.215569,0.78709,-0.018123,-0.299497,-0.696035,R1
8.879084,3.91449,1.297027,-0.026203,-0.316549,-0.633628,R1
8.645385,4.613411,1.806963,-0.034283,-0.333602,-0.571221,R1
8.411685,5.312333,2.3169,-0.042363,-0.350654,-0.508814,R1
9.143335,5.978943,1.982638,-0.029843,-0.36223,-0.520623,R1
9.874985,6.645554,1.648376,-0.017323,-0.373806,-0.532431,R1
9.538714,1.388228,1.107475,-0.510176,-0.539491,-0.385051,R2
9.578892,1.636848,1.327228,-0.461229,-0.515696,-0.371188,R2
9.619068,1.885468,1.546981,-0.412283,-0.491901,-0.357325,R2
9.659245,2.134089,1.766734,-0.363336,-0.468106,-0.343462,R2
9.699423,2.382709,1.986487,-0.314389,-0.444311,-0.329599,R2
9.520084,2.359826,1.886533,-0.289211,-0.422083,-0.340833,R2
9.558115,1.096147,0.299947,-0.069076,-0.510084,-0.768795,R1
9.566222,1.39006,0.800619,-0.042188,-0.476978,-0.697051,R1
9.574329,1.683972,1.301291,-0.015299,-0.443873,-0.625307,R1
9.365214,1.983041,1.224234,0.016931,-0.431238,-0.643158,R1
9.156099,2.282109,1.147177,0.049161,-0.418604,-0.66101,R1
8.946984,2.581177,1.070119,0.081391,-0.405969,-0.678862,R1
9.611567,1.981701,1.153231,-0.230599,-0.357626,-0.680129,R2
9.641569,1.395319,1.270702,-0.249662,-0.340309,-0.605885,R2
9.650517,2.049555,1.388245,-0.226031,-0.328562,-0.539973,R2
9.659466,2.703791,1.505789,-0.202399,-0.316816,-0.474061,R2
